Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://search.kemet.com/download/datasheet/C412C153K1R5TA7200","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2484/AXIMAX%20SERIES%204.32L%2C3.05D.jpg","399-4486-2-ND","C412C153K1R5TA7200","KEMET","KEMET","CAP CER 0.015UF 100V X7R AXIAL","5,000","0.07257","0","5000","Tape & Reel (TR)","AxiMax 400 Comm X7R","Active","0.015 µF","±10%","100V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Axial","0.120"" Dia x 0.170"" L (3.05mm x 4.32mm)","-","-","-","Straight"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6370/MFG_C901U100JZSDAAWL20.jpg","5831-C901U100JZSDAAWL20TR-ND","C901U100JZSDAAWL20","KEMET","WEE","10.0PFV","3,000","0.081","0","1000","Tape & Reel (TR)","C900AC SFTY X1-440 Y2-300","Active","10 pF","±5%","440VAC","SL","-40°C ~ 125°C","-","X1, Y2","Safety","-","Through Hole","Radial, Disc","0.276"" Dia x 0.197"" W (7.00mm x 5.00mm)","-","-","0.394"" (10.00mm)","Straight"
"https://datasheets.kyocera-avx.com/SR-Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4311/Kyocera-SR15x.JPG","SR155A101JARTR1-ND","SR155A101JARTR1","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 50V C0G/NP0 RADIAL","3,500","0.08176","0","3500","Tape & Reel (TR)","SkyCap® SR","Active","100 pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.150"" L x 0.100"" W (3.81mm x 2.54mm)","0.150"" (3.81mm)","-","0.100"" (2.54mm)","Straight"
"-","-","5831-C901U150JYSDCAWL50TR-ND","C901U150JYSDCAWL50","KEMET","WEE","15.0PFV","9,000","0.088","0","1000","Tape & Reel (TR)","C900AC SFTY X1-400 Y2-250","Active","15 pF","±5%","400VAC","SL","-40°C ~ 125°C","-","X1, Y2","Safety","-","Through Hole","Radial, Disc","0.276"" Dia (7.00mm)","0.472"" (12.00mm)","-","0.394"" (10.00mm)","Formed Leads - Kinked"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2590/MonoCap%20GP%20Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2672/MFG_Mono-ceramic-capacitor-0603-0805.jpg","4491-MC1-0603N200J500BF3-ND","MC1-0603N200J500BF3","Lumimax Optoelectronic Technology","Lumimax Optoelectronic Technology","CAP CER 20PF 50V NP0 RADIAL","4,500","0.09","0","20","Bulk","MonoCap GP","Active","20 pF","±5%","50V","NP0","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.217"" W (5.50mm x 5.50mm)","0.394"" (10.00mm)","-","0.200"" (5.08mm)","Straight"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2590/MonoCap%20GP%20Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2672/MFG_Mono-ceramic-capacitor-0603-0805.jpg","4491-MC1-0603N680J500BF3-ND","MC1-0603N680J500BF3","Lumimax Optoelectronic Technology","Lumimax Optoelectronic Technology","CAP CER 68PF 50V NP0 RADIAL","4,500","0.09","0","20","Bulk","MonoCap GP","Active","68 pF","±5%","50V","NP0","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.217"" W (5.50mm x 5.50mm)","0.394"" (10.00mm)","-","0.200"" (5.08mm)","Straight"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2590/MonoCap%20GP%20Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2672/MFG_Mono-ceramic-capacitor-0603-0805.jpg","4491-MC2-0603B103M500BF3-ND","MC2-0603B103M500BF3","Lumimax Optoelectronic Technology","Lumimax Optoelectronic Technology","CAP CER 0.01UF 50V X7R RADIAL","3,500","0.09","0","20","Bulk","MonoCap GP","Active","10000 pF","±20%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.217"" W (5.50mm x 5.50mm)","0.394"" (10.00mm)","-","0.200"" (5.08mm)","Straight"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2590/MonoCap%20GP%20Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2672/MFG_Mono-ceramic-capacitor-0603-0805.jpg","4491-MC1-0603N470J500BF3-ND","MC1-0603N470J500BF3","Lumimax Optoelectronic Technology","Lumimax Optoelectronic Technology","CAP CER 47PF 50V NP0 RADIAL","3,500","0.09","0","20","Bulk","MonoCap GP","Active","47 pF","±5%","50V","NP0","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.217"" W (5.50mm x 5.50mm)","0.394"" (10.00mm)","-","0.200"" (5.08mm)","Straight"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2590/MonoCap%20GP%20Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2672/MFG_Mono-ceramic-capacitor-0603-0805.jpg","4491-MC1-0603N300J500BF3-ND","MC1-0603N300J500BF3","Lumimax Optoelectronic Technology","Lumimax Optoelectronic Technology","CAP CER 30PF 50V NP0 RADIAL","3,500","0.09","0","20","Bulk","MonoCap GP","Active","30 pF","±5%","50V","NP0","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.217"" W (5.50mm x 5.50mm)","0.394"" (10.00mm)","-","0.200"" (5.08mm)","Straight"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2590/MonoCap%20GP%20Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2672/MFG_Mono-ceramic-capacitor-0603-0805.jpg","4491-MC1-0603N101J500BF3-ND","MC1-0603N101J500BF3","Lumimax Optoelectronic Technology","Lumimax Optoelectronic Technology","CAP CER 100PF 50V NP0 RADIAL","3,460","0.09","0","20","Bulk","MonoCap GP","Active","100 pF","±5%","50V","NP0","-55°C ~ 125°C","-","-","General Purpose","-","Through Hole","Radial","0.217"" L x 0.217"" W (5.50mm x 5.50mm)","0.394"" (10.00mm)","-","0.200"" (5.08mm)","Straight"
