Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2491/CF%20Series%20100k.jpg","CF18JT100KTR-ND,CF18JT100KCT-ND","CF18JT100K","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 100K OHM 5% 1/8W AXIAL","374,479","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","100 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -850ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2367/CF%20Series%20270.jpg","CF18JT270RTR-ND,CF18JT270RCT-ND","CF18JT270R","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 270 OHM 5% 1/8W AXIAL","282,367","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","270 Ohms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CF%20Series%204-7k.jpg","CF18JT4K70TR-ND,CF18JT4K70CT-ND","CF18JT4K70","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 4.7K OHM 5% 1/8W AXIAL","254,947","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","4.7 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2520/CF%20Series%2047k.jpg","CF18JT47K0TR-ND,CF18JT47K0CT-ND","CF18JT47K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 47K OHM 5% 1/8W AXIAL","236,023","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","47 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2497/CF%20Series%2010.jpg","CF18JT10R0TR-ND,CF18JT10R0CT-ND","CF18JT10R0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 10 OHM 5% 1/8W AXIAL","185,613","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","10 Ohms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2494/CF%20Series%20820.jpg","CF18JT820RTR-ND,CF18JT820RCT-ND","CF18JT820R","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 820 OHM 5% 1/8W AXIAL","181,726","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","820 Ohms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2456/CF%20Series%2010k.jpg","CF18JT10K0TR-ND,CF18JT10K0CT-ND","CF18JT10K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 10K OHM 5% 1/8W AXIAL","139,643","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","10 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2420/CF%20Series%2051.jpg","CF18JT51R0TR-ND,CF18JT51R0CT-ND","CF18JT51R0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 51 OHM 5% 1/8W AXIAL","96,205","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","51 Ohms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2443/CF%20Series%2039k.jpg","CF18JT39K0TR-ND,CF18JT39K0CT-ND","CF18JT39K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 39K OHM 5% 1/8W AXIAL","94,364","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","39 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2469/CF%20Series%2056k.jpg","CF18JT56K0TR-ND,CF18JT56K0CT-ND","CF18JT56K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 56K OHM 5% 1/8W AXIAL","92,978","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","56 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2443/CF%20Series%20330k.jpg","CF18JT330KTR-ND,CFPad8JT330KCT-ND","CF18JT330K","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 330K OHM 5% 1/8W AXIAL","92,568","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","330 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -850ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2450/CF%20Series%201m.jpg","CF18JT1M00TR-ND,CF18JT1M00CT-ND","CF18JT1M00","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 1M OHM 5% 1/8W AXIAL","89,707","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","1 MOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -1500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2432/CF%20Series%201k.jpg","CF18JT1K00TR-ND,CF18JT1K00CT-ND","CF18JT1K00","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 1K OHM 5% 1/8W AXIAL","72,181","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","1 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2400/CF%20Series%203-3k.jpg","CF18JT3K30TR-ND,CF18JT3K30CT-ND","CF18JT3K30","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 3.3K OHM 5% 1/8W AXIAL","70,193","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","3.3 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2400/CF%20Series%2020k.jpg","CF18JT20K0TR-ND,CF18JT20K0CT-ND","CF18JT20K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 20K OHM 5% 1/8W AXIAL","69,053","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","20 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -500ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2436/CF%20Series%202k.jpg","CF18JT2K00TR-ND,CF18JT2K00CT-ND","CF18JT2K00","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 2K OHM 5% 1/8W AXIAL","68,985","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","2 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
"https://www.seielect.com/catalog/sei-cf_cfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2530/CF%20Series%205-1k.jpg","CF18JT5K10TR-ND,CF18JT5K10CT-ND","CF18JT5K10","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 5.1K OHM 5% 1/8W AXIAL","67,357","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","CF","Active","5.1 kOhms","±5%","0.125W, 1/8W","Carbon Film","Flame Retardant Coating, Safety","0/ -400ppm/°C","-55°C ~ 155°C","Axial","Axial","0.067"" Dia x 0.130"" L (1.70mm x 3.30mm)","-","2","-"
